email,first_name,last_name,school,grade,phone
parent1@example.com,Sarah,Johnson,Farmington Elementary,3,801-555-0101
parent2@example.com,Mike,Chen,Farmington Elementary,5,
parent3@example.com,Lisa,Davis,Davis High School,11,801-555-0103
parent4@example.com,Tom,Williams,kaysville-elementary,K,
parent5@example.com,Jennifer,Lee,Bountiful Junior High,8,801-555-0105
parent6@example.com,Robert,Martinez,Layton Elementary,2,
parent7@example.com,Amanda,Garcia,Foxboro Elementary,4,801-555-0107
parent8@example.com,David,Rodriguez,Centennial Junior High,9,
parent9@example.com,Michelle,Wilson,Northridge High School,10,801-555-0109
parent10@example.com,Kevin,Anderson,Eagle Bay Elementary,1,
